Session Title,Percentage with Hemoglobin A1C 7.0% or more and Percentage with BMI 30.0  or more and 49.8  or less by Age in Years (Current) Range and State of Residence (U.S.),,
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.47%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),16.1%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),31.8%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.6%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.6%
Nevada,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.124%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.35%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.2%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.474%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),18.5%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.962%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),35%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),4.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.9%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),7.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.6%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),3.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),33.5%
District of Columbia,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.2%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),6.2%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),10.2%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.973%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),25.6%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),4.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),7.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),34.8%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),3.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),31.2%
Colorado,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.123%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.598%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.464%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),4.9%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.715%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),13.8%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),31.3%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),5.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),9.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),36.2%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),3.8%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),28.6%
California,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.063%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.913%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.245%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.472%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),16.3%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),30.6%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),38%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),9.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.8%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),25.9%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.7%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),28.7%
Oregon,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.234%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.774%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.827%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),7.1%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),17.4%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),31.2%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),7.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),42.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),11.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),41.8%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),5.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.2%
Alaska,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),5.4%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),14.7%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.934%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),31.5%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),44.7%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),8.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),37.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),32.2%
None of the above,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.064%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),0.503%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.287%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),4.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.522%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),11.3%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),29.7%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),6.2%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.4%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),9.6%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),35.1%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),-
,,Percentage with BMI 30.0  or more and 49.8  or less (%),-
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),4.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),28.2%
Total,Less than 10 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.114%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),1.1%
,? 10 and < 15 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.477%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),8.5%
,? 15 and < 20 years,Percentage with Hemoglobin A1C 7.0% or more (%),0.771%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),19.6%
,? 20 and < 40 years,Percentage with Hemoglobin A1C 7.0% or more (%),1.7%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),40.8%
,? 40 and < 65 years,Percentage with Hemoglobin A1C 7.0% or more (%),8.4%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),52.1%
,65 years or more,Percentage with Hemoglobin A1C 7.0% or more (%),13.1%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),46.7%
,No value,Percentage with Hemoglobin A1C 7.0% or more (%),16.5%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),45.4%
,Total,Percentage with Hemoglobin A1C 7.0% or more (%),6.3%
,,Percentage with BMI 30.0  or more and 49.8  or less (%),39.1%
